tactic,precision,recall,f1,support
Curiosity Gap,0.37688984881209503,0.7107942973523421,0.49258997882851097,491
Exaggeration,0.3327922077922078,0.41330645161290325,0.368705035971223,496
Emotional Trigger,0.5238095238095238,0.18723404255319148,0.27586206896551724,470
Sensationalism,0.38169257340241797,0.45194274028629855,0.41385767790262173,489
Lists/Superlatives,0.7243589743589743,0.2310838445807771,0.35038759689922483,489
Ambiguous References,0.4057377049180328,0.20204081632653062,0.26975476839237056,490
Direct Appeals,0.2018348623853211,0.13279678068410464,0.16019417475728157,497
Unfinished Narratives,0.5454545454545454,0.1284796573875803,0.20797227036395147,467
Unexpected Associations,0.6986301369863014,0.10493827160493827,0.18246869409660108,486
Provocative Questions,0.48284960422163586,0.375,0.42214532871972316,488
